time,laccx,laccy,laccz,grax,gray,graz,gyrx,gyry,gyrz,accx,accy,accz,magx,magy,magz
113376780,0.3469941,0.32245833,-0.013326475,-0.11384942,9.700565,1.4337275,-0.0019177627,-0.007200658,0.0012230263,0.25461003,10.086841,1.3994101,44.1225,47.5125,151.99126
113376800,-0.22498998,-0.19521,0.115318395,-0.0807309,9.699278,1.444896,-0.043092497,0.01486375,-0.021174999,-0.21915002,9.60381,1.58703,44.15625,47.3775,152.01001
113376820,-0.06317561,-0.14975192,0.1659881,-0.1264225,9.69596,1.4634211,-0.008002501,-0.010367498,0.010505,-0.33915004,9.37485,1.4297701,43.871254,46.95375,151.6875
113376840,0.13479526,0.2757033,0.072514415,-0.11978237,9.692125,1.4894011,0.0010059213,-0.0063105263,-0.0018888153,0.108892106,10.0112915,1.6749237,43.65,46.616253,151.5225
113376860,-0.20985526,0.016689755,0.012000999,-0.112505995,9.691012,1.4973348,-0.03458125,0.012375,-0.009865625,-0.2772,9.744713,1.4937,44.0475,46.84125,151.54501
113376880,0.21696275,-0.45993674,0.08533651,-0.14546375,9.688183,1.5125873,-0.02688125,-0.032037497,0.013303124,-0.081450015,9.245738,1.6032001,44.87625,47.4975,151.99126
113376900,0.31980726,-0.015327245,0.09187925,-0.081307,9.684122,1.5425582,0.0176,0.0059812497,-0.015228123,0.33191842,9.596267,1.5865028,45.05625,48.078754,151.95001
113376920,-0.39805877,0.10872415,0.12494084,-0.07347195,9.686337,1.5295957,-0.022586185,0.020697366,-0.012027631,-0.44142002,9.75708,1.3075501,44.816254,48.187504,151.7325
113376940,0.104068,-0.23427102,-0.068675205,-0.124869,9.683749,1.5424563,-0.0162525,-0.03135,0.0030250004,-0.09644999,9.548535,1.7614352,44.381256,47.992504,150.66751
113376960,0.2905462,-0.1405004,-0.0032556,-0.0881996,9.678089,1.5799907,0.015262499,1.9250065E-4,-0.0018150001,0.15762,9.499486,1.7595,44.182503,47.943752,150.4725
113376980,-0.37087274,-0.17693226,-0.2661485,-0.070289426,9.682538,1.5536046,-0.014032237,0.01579079,-0.0235125,-0.2445079,9.47423,1.2025105,44.201252,47.943752,150.4275
113377000,0.35094976,-0.47768015,0.50131154,-0.11999161,9.684378,1.5389576,-0.028826876,-0.0385275,0.022563754,-0.04965,9.215632,1.3425,44.1675,47.70375,150.65251
113377020,-0.124009974,0.062311165,-0.11615507,-0.05409465,9.684298,1.5430082,0.032979377,0.021278128,-0.034684375,0.06921747,9.682718,1.400085,43.916252,48.078754,150.6225
113377040,-0.195514,0.16596465,-0.57715815,-0.09991139,9.680725,1.5631037,-0.0019112518,-0.0016293763,0.018761877,-0.38626578,9.897229,1.9584,44.051254,48.322502,150.51001
113377060,0.21197863,-0.023782892,0.832021,-0.10610931,9.685521,1.5328629,-0.0053625004,-0.03551842,-0.013547368,0.16485001,9.795031,1.5421801,44.100002,48.221252,150.8175
113377080,0.3662214,0.4630773,-0.011621274,-0.059723802,9.679069,1.5754281,0.017214999,0.0034237485,0.00617375,0.09045001,9.901621,1.5025501,43.905003,47.992504,150.90001
113377100,-0.5698867,-0.11857938,-0.0600129,-0.041823402,9.678674,1.5785674,-0.015729997,0.02630375,-0.0351175,-0.35955003,9.793411,1.8891901,43.901253,47.70375,150.03
113377120,-0.068839714,0.06300909,-0.42703336,-0.1360809,9.671867,1.6142187,0.04159375,-0.033054996,0.0203775,-0.22372897,9.635203,1.4661869,43.822506,47.973755,149.7225
113377140,0.7294989,-0.09581859,0.44216064,-0.099659055,9.690138,1.5035971,-0.040309213,-0.036748685,-0.003133553,0.49384505,9.537728,1.1283,43.65,48.581253,149.505
113377160,0.1361559,-0.59637535,-0.45268,0.013754449,9.680964,1.5646847,0.01145375,0.025994373,-0.031068124,0.112027526,9.399472,1.9387727,43.1925,48.097504,149.50125
113377180,-0.5729725,0.47695318,-0.4237135,-0.01659,9.679916,1.5713928,0.08419125,0.018184375,-0.014293125,-0.4678275,9.893206,1.2080775,42.937504,48.033752,149.57251
113377200,-0.117233,-0.259819,0.290358,-0.100377,9.703551,1.414711,-0.1101375,-0.036575,-0.00275,-0.21007895,9.522894,1.1700001,42.989998,48.581253,149.58751
113377220,0.266319,-0.74518,-0.464907,-0.093662,9.683718,1.545068,0.0389125,-0.0100375,0.0037125,-5.249977E-4,9.2985,1.9965,42.832504,48.472504,149.52751
113377240,-0.338962,0.65627,0.510696,-0.072586,9.690108,1.50563,0.0600875,0.0144375,-0.0144375,-0.300525,10.032001,1.1955001,42.7275,48.3675,149.18251
113377260,-0.388259,0.025359,-0.795273,-0.133426,9.693716,1.477982,-0.0600875,-0.0015125,0.0015125,-0.33797368,9.5131035,1.1179738,42.6225,48.64125,148.53001
113377280,0.92148405,-1.4246848,-0.026185699,-0.1524092,9.699046,1.4396315,-0.053927496,-0.0864875,0.02074875,0.76365006,8.773095,1.92015,41.640003,48.667503,148.5225
113377300,0.96163464,0.33475003,0.6126587,0.0730844,9.686125,1.5309241,0.099,0.040720627,-0.02146375,0.40082246,9.842228,1.184355,41.44286,48.29911,148.59912
113377320,-1.7489337,0.92235637,-0.28153574,0.07710794,9.69735,1.4570907,-0.017643422,0.063930266,-0.0675921,-0.9271276,10.330628,1.2447001,41.885525,47.995068,148.19803
